이름,가격,연식,주행거리,연료,배기량,연비,구동방식,최대토크,보험이력등록,제조사,마력,보증여부
스파크,3700000,119,34000,가솔린,995,21,전륜 FF,9.4,미등록,쉐보레,70,0
더 넥스트 스파크,6150000,92,66050,가솔린,999,14.8,전륜 FF,9.6,등록,쉐보레,75,0
더 넥스트 스파크,3900000,75,29907,가솔린,999,12,전륜 FF,36,미등록,쉐보레,203,0
더 넥스트 스파크,5700000,92,33500,가솔린,999,14.8,전륜 FF,9.6,등록,쉐보레,75,0
더 뉴 스파크 1.0,10500000,32,25000,가솔린,999,12,전륜 FF,9.7,등록,쉐보레,75,1
스파크 1.0,1900000,138,125000,가솔린,995,21,전륜 FF,9.4,등록,쉐보레,70,0
더 넥스트 스파크,7000000,84,48000,가솔린,999,15.4,전륜 FF,9.7,등록,쉐보레,75,0
스파크 1.0,5500000,97,44000,가솔린,995,15.3,전륜 FF,9.6,등록,쉐보레,75,0
스파크,2400000,129,143000,LPG,995,17,전륜 FF,9.3,미등록,쉐보레,65,0
올 뉴 말리부,16300000,77,77121,가솔린,1998,10.8,전륜 FF,36,미등록,쉐보레,253,0
올 뉴 말리부 1.5,9590000,79,96327,가솔린,1490,13,전륜 FF,25.5,등록,쉐보레,166,0
올 뉴 말리부 2.0,10500000,50,113306,가솔린,1998,10.8,전륜 FF,36,등록,쉐보레,253,1
말리부 2.0,4990000,143,150335,가솔린,1998,12.4,전륜 FF,18.8,등록,쉐보레,141,0
더 뉴 말리부,16690000,46,62237,가솔린,1341,14.2,전륜 FF,24.1,등록,쉐보레,156,1
올 뉴 말리부 2.0,11990000,62,58717,가솔린,1998,10.8,전륜 FF,36,등록,쉐보레,253,0
올 뉴 말리부 1.5,10500000,81,64547,가솔린,1490,13,전륜 FF,25.5,등록,쉐보레,166,0
말리부 2.0,5500000,126,63622,가솔린,1998,11.6,전륜 FF,18.8,등록,쉐보레,141,0
말리부 2.0,3800000,144,184579,가솔린,1998,12.4,전륜 FF,18.8,등록,쉐보레,141,0
더 뉴 말리부 1.3,14990000,45,25360,가솔린,1341,14.2,전륜 FF,24.1,등록,쉐보레,156,1
말리부 2.0,5200000,127,116000,가솔린,1998,12.4,전륜 FF,18.8,등록,쉐보레,141,0
말리부 2.0,3900000,111,140000,LPG,1998,8.3,전륜 FF,18.7,등록,쉐보레,137,0
올 뉴 말리부 1.5,14500000,63,72396,가솔린,1490,13,전륜 FF,25.5,등록,쉐보레,166,0
말리부 2.0,4700000,93,82097,디젤,1956,13.3,전륜 FF,35.8,등록,쉐보레,156,0
말리부 2.0,4390000,93,119699,디젤,1956,13.3,전륜 FF,35.8,등록,쉐보레,156,0
말리부 2.0,3490000,106,183270,디젤,1956,13.3,전륜 FF,35.8,등록,쉐보레,156,0
말리부 2.0,4200000,81,52983,가솔린,1998,10.1,전륜 FF,18.8,등록,쉐보레,141,0
말리부 2.0,3990000,93,127000,디젤,1956,13.3,전륜 FF,35.8,등록,쉐보레,156,0
올 뉴 말리부 1.5,7990000,79,76000,가솔린,1490,13,전륜 FF,25.5,등록,쉐보레,166,0
말리부 2.0,3990000,85,126000,디젤,1956,13.3,전륜 FF,35.8,등록,쉐보레,156,0
말리부 2.0,3300000,89,106000,디젤,1956,13.3,전륜 FF,35.8,등록,쉐보레,156,0
올 뉴 말리부 1.5,11000000,82,56565,가솔린,1490,13,전륜 FF,25.5,등록,쉐보레,166,0
말리부 2.0,3690000,101,208000,디젤,1956,13.3,전륜 FF,35.8,등록,쉐보레,156,0
올 뉴 말리부 2.0,13900000,78,73000,가솔린,1998,10.8,전륜 FF,36,등록,쉐보레,253,0
올 뉴 말리부 1.5,12500000,82,55182,가솔린,1490,13,전륜 FF,25.5,등록,쉐보레,166,0
말리부 2.0,4990000,131,93936,가솔린,1998,11.6,전륜 FF,18.8,등록,쉐보레,141,0
올 뉴 말리부 2.0,12600000,79,87883,가솔린,1998,10.8,전륜 FF,36,등록,쉐보레,253,0
말리부 2.0,4900000,105,150000,디젤,1956,13.3,전륜 FF,35.8,등록,쉐보레,156,0
말리부 2.0,6100000,130,89649,가솔린,1998,11.6,전륜 FF,18.8,등록,쉐보레,141,0
올 뉴 말리부,13500000,62,137000,가솔린,1998,10.8,전륜 FF,36,미등록,쉐보레,253,0
올 뉴 말리부 2.0,14700000,61,94722,가솔린,1998,10.8,전륜 FF,36,등록,쉐보레,253,0
말리부 2.0,6800000,89,112000,디젤,1956,13.3,전륜 FF,35.8,등록,쉐보레,156,0
올 뉴 말리부,16900000,79,58315,가솔린,1998,10.8,전륜 FF,36,미등록,쉐보레,253,0
말리부 2.4,7500000,100,93430,가솔린,2384,10.8,전륜 FF,23,등록,쉐보레,170,0
올 뉴 말리부 2.0,14900000,79,83621,가솔린,1998,10.8,전륜 FF,36,등록,쉐보레,253,0
말리부 2.0,4100000,143,145000,가솔린,1998,12.4,전륜 FF,18.8,등록,쉐보레,141,0
올 뉴 말리부,14300000,67,90741,가솔린,1490,13,전륜 FF,25.5,미등록,쉐보레,166,0
더 뉴 말리부 1.3,19900000,37,57000,가솔린,1341,13.3,전륜 FF,24.1,등록,쉐보레,156,1
올 뉴 말리부,14100000,82,114826,가솔린,1998,10.8,전륜 FF,36,미등록,쉐보레,253,0
올 뉴 말리부,18900000,65,68211,가솔린,1998,10.8,전륜 FF,36,미등록,쉐보레,253,0
말리부,7800000,122,32385,가솔린,1998,11.6,전륜 FF,18.8,미등록,쉐보레,141,0
SM5 노바,7700000,60,97460,LPG,1998,12,전륜 FF,36,등록,르노삼성,203,0
SM5 노바,4800000,74,169320,LPG,1998,12,전륜 FF,36,등록,르노삼성,203,0
SM5 노바,6900000,60,132360,LPG,1998,12,전륜 FF,36,등록,르노삼성,203,0
SM5 SM520,1400000,231,118966,가솔린,1998,10.3,전륜 FF,18.5,등록,르노삼성,143,0
SM5 노바,6500000,90,83439,가솔린,1618,13,전륜 FF,24.5,등록,르노삼성,190,1
SM5 노바,5500000,91,70777,가솔린,1998,12.6,전륜 FF,19.8,등록,르노삼성,141,1
뉴 SM5,3200000,126,133280,가솔린,1998,14.1,전륜 FF,19.8,등록,르노삼성,141,0
뉴 SM5,2700000,155,195901,LPG,1998,10,전륜 FF,19.7,등록,르노삼성,140,0
뉴 SM5,2500000,133,167127,가솔린,1998,12.5,전륜 FF,19.8,등록,르노삼성,141,1
뉴 SM5,2500000,155,168898,가솔린,1998,12.1,전륜 FF,19.8,등록,르노삼성,141,0
뉴 SM5,2500000,147,163090,가솔린,1998,12.1,전륜 FF,19.8,등록,르노삼성,141,0
뉴 SM5,2400000,149,155574,가솔린,1998,12.1,전륜 FF,19.8,등록,르노삼성,141,0
뉴 SM5,2500000,140,121048,가솔린,1998,12.5,전륜 FF,19.8,등록,르노삼성,141,1
뉴 SM5,2500000,150,188394,가솔린,1998,12.1,전륜 FF,19.8,등록,르노삼성,141,0
뉴 SM5,2500000,141,172875,가솔린,1998,12.5,전륜 FF,19.8,등록,르노삼성,141,0
뉴 SM5,2700000,122,179416,가솔린,1998,12.5,전륜 FF,19.8,등록,르노삼성,141,0
뉴SM5 플래티넘,3590000,116,149566,LPG,1998,12,전륜 FF,36,등록,르노삼성,203,0
뉴SM5 플래티넘,3390000,116,157216,LPG,1998,12,전륜 FF,36,등록,르노삼성,203,0
SM5 노바,4690000,86,123114,디젤,1461,16.5,전륜 FF,24.5,등록,르노삼성,110,1
뉴SM5 플래티넘,3290000,101,130461,가솔린,1998,12.6,전륜 FF,19.8,등록,르노삼성,141,1
뉴 SM5,1890000,156,157425,LPG,1998,10,전륜 FF,19.7,등록,르노삼성,140,0
SM5 노바,2990000,91,142049,디젤,1461,16.5,전륜 FF,24.5,등록,르노삼성,110,1
뉴 SM5,1490000,147,218650,가솔린,1998,12.1,전륜 FF,19.8,등록,르노삼성,141,0
뉴SM5 플래티넘,3990000,116,164000,가솔린,1618,13,전륜 FF,24.5,등록,르노삼성,190,1
뉴 SM5,3800000,109,107400,LPG,1998,14.1,전륜 FF,19.8,등록,르노삼성,141,0
뉴 SM5,2200000,152,154000,LPG,1998,10,전륜 FF,19.7,등록,르노삼성,140,0
뉴SM5 플래티넘,2700000,117,174000,가솔린,1998,9.6,전륜 FF,19.8,등록,르노삼성,141,1
SM5 노바,4990000,92,79000,가솔린,1998,12.6,전륜 FF,19.8,등록,르노삼성,141,1
뉴SM5 플래티넘,2500000,118,172000,LPG,1998,9.6,전륜 FF,19.8,등록,르노삼성,141,1
뉴 SM5,3600000,147,143000,가솔린,1998,12.1,전륜 FF,19.8,등록,르노삼성,141,0
뉴 SM5,2990000,121,145650,LPG,1998,10,전륜 FF,19.7,등록,르노삼성,140,0
SM5 노바,4500000,86,159410,디젤,1461,16.5,전륜 FF,24.5,등록,르노삼성,110,1
SM5 노바,6800000,74,173000,LPG,1998,12,전륜 FF,36,등록,르노삼성,203,0
SM5 뉴 임프레션,500000,187,230000,가솔린,1998,11,전륜 FF,20,등록,르노삼성,143,0
SM5 뉴 임프레션,1600000,172,167978,가솔린,1998,11,전륜 FF,20,등록,르노삼성,143,0
뉴SM5 플래티넘,5300000,132,103128,가솔린,1998,12.6,전륜 FF,19.8,등록,르노삼성,141,0
SM5 뉴 임프레션,1500000,192,184700,가솔린,1998,11,전륜 FF,20,등록,르노삼성,143,0
뉴SM5 플래티넘,7000000,107,76220,가솔린,1998,12.6,전륜 FF,19.8,등록,르노삼성,141,1
뉴SM5 플래티넘,4000000,105,58732,가솔린,1998,12.6,전륜 FF,19.8,등록,르노삼성,141,1
SM5 뉴 임프레션,4300000,158,118666,가솔린,1998,11,전륜 FF,20,미등록,르노삼성,143,0
뉴 SM5,3500000,152,172244,가솔린,1998,12.1,전륜 FF,19.8,미등록,르노삼성,141,0
뉴SM5 플래티넘,4300000,115,205291,LPG,1998,12,전륜 FF,36,미등록,르노삼성,203,0
뉴SM5 플래티넘,7600000,108,94000,LPG,1998,12,전륜 FF,36,미등록,르노삼성,203,0
더 뉴 SM6 1.3,27500000,17,9888,가솔린,1332,13.3,전륜 FF,26.5,등록,르노삼성,156,1
SM6 1.5,8400000,62,113091,디젤,1461,17,전륜 FF,25.5,등록,르노삼성,110,0
SM6,9900000,51,120460,가솔린,1997,12,전륜 FF,20.6,등록,르노삼성,150,1
SM6,10690000,37,130069,LPG,1998,9.3,전륜 FF,19.7,등록,르노삼성,140,1
SM6 2.0,10700000,83,65066,가솔린,1997,12.3,전륜 FF,20.6,등록,르노삼성,150,0
SM6 1.6,10990000,66,71675,가솔린,1618,12.3,전륜 FF,26.5,등록,르노삼성,190,0
SM6 2.0,9200000,76,93585,가솔린,1997,12.3,전륜 FF,20.6,등록,르노삼성,150,0
SM6 2.0,9990000,78,144677,가솔린,1997,12.3,전륜 FF,20.6,등록,르노삼성,150,0
SM6 2.0,10990000,58,92576,LPG,1998,9.3,전륜 FF,19.7,등록,르노삼성,140,1
SM6,19900000,30,18501,LPG,1998,9,전륜 FF,19.7,등록,르노삼성,140,1
SM6 1.5,9800000,80,96000,디젤,1461,17,전륜 FF,25.5,등록,르노삼성,110,0
SM6 2.0,11300000,79,74714,가솔린,1997,12.3,전륜 FF,20.6,등록,르노삼성,150,0
SM6 2.0,12700000,83,61499,가솔린,1997,12.3,전륜 FF,20.6,등록,르노삼성,150,0
SM6 1.5,8990000,66,40964,디젤,1461,17,전륜 FF,25.5,등록,르노삼성,110,0
SM6 1.6,9900000,62,87064,가솔린,1618,12.8,전륜 FF,26.5,등록,르노삼성,190,0
SM6 2.0,5990000,80,74000,LPG,1998,9.3,전륜 FF,19.7,등록,르노삼성,140,0
SM6 2.0,6990000,84,124000,LPG,1998,9.3,전륜 FF,19.7,등록,르노삼성,140,0
SM6 1.6,9900000,80,105006,가솔린,1618,12.8,전륜 FF,26.5,등록,르노삼성,190,0
SM6 2.0,12900000,67,79000,가솔린,1997,12,전륜 FF,20.6,등록,르노삼성,150,0
SM6 1.6,17800000,46,54300,가솔린,1618,12.3,전륜 FF,26.5,등록,르노삼성,190,1
SM6 2.0,9990000,79,107650,가솔린,1997,12.3,전륜 FF,20.6,등록,르노삼성,150,0
SM6 2.0,8800000,79,99095,가솔린,1997,12.3,전륜 FF,20.6,등록,르노삼성,150,0
SM6,14500000,82,61511,가솔린,1997,12.3,전륜 FF,20.6,미등록,르노삼성,150,0
SM6 2.0,11700000,50,59700,가솔린,1997,12.3,전륜 FF,20.6,등록,르노삼성,150,1
SM6 2.0,6600000,76,152700,LPG,1998,9,전륜 FF,19.7,등록,르노삼성,140,0
SM6 2.0,7500000,59,213986,LPG,1998,9.3,전륜 FF,19.7,등록,르노삼성,140,1
SM6 2.0,14000000,75,43800,가솔린,1997,12.3,전륜 FF,20.6,등록,르노삼성,150,0
코란도 투리스모,7400000,107,132138,디젤,1998,11.3,4WD,36.7,등록,쌍용,155,0
코란도 투리스모,6990000,112,100000,디젤,1998,11.3,4WD,36.7,등록,쌍용,155,0
뉴 코란도 C,4700000,117,150000,디젤,1998,12.8,전륜 FF,36.7,등록,쌍용,181,0
더 뉴 코란도 스포츠,7900000,81,92585,디젤,2157,12,4WD,40.8,등록,쌍용,178,0
코란도 스포츠,5000000,130,137107,디젤,1998,12.8,4WD,36.7,등록,쌍용,155,0
코란도 스포츠,5500000,131,157022,디젤,1998,12.8,4WD,36.7,등록,쌍용,155,0
뷰티풀 코란도,16500000,46,28485,디젤,1597,14.1,전륜 FF,32.9,등록,쌍용,136,1
뷰티풀 코란도,15990000,39,17271,디젤,1597,14.1,전륜 FF,32.9,등록,쌍용,136,1
코란도 투리스모,7990000,120,100875,디젤,1998,11.3,4WD,36.7,등록,쌍용,155,0
코란도 C 2.0,4290000,130,130312,디젤,1998,15,전륜 FF,36.7,등록,쌍용,181,0
코란도 스포츠,6200000,131,166267,디젤,1998,12.8,4WD,36.7,등록,쌍용,155,0
코란도 C,3200000,132,227290,디젤,1998,10.7,전륜 FF,36.7,등록,쌍용,181,0
코란도 스포츠,11000000,115,64305,디젤,1998,10.3,4WD,36.7,등록,쌍용,155,0
코란도 투리스모,7500000,100,134753,디젤,1998,11.3,4WD,36.7,등록,쌍용,155,0
코란도 C 2.0,3500000,144,134578,디젤,1998,13.1,4WD,36.7,등록,쌍용,181,0
뷰티풀 코란도,17990000,46,25856,디젤,1597,14.1,전륜 FF,32.9,등록,쌍용,136,1
뷰티풀 코란도,14990000,27,54205,디젤,1597,14.1,전륜 FF,32.9,등록,쌍용,136,1
코란도 C 2.0,3490000,111,160691,디젤,1998,10.7,전륜 FF,36.7,등록,쌍용,181,0
뉴 코란도 C 2.0,4400000,99,170000,디젤,1998,12,4WD,36,등록,쌍용,203,0
코란도 스포츠,6990000,118,81000,디젤,1998,10.3,후륜 ,36.7,등록,쌍용,155,0
뉴 코란도 C 2.0,5800000,108,127000,디젤,1998,12.8,전륜 FF,36.7,등록,쌍용,181,0
뉴 코란도 C 2.0,5500000,100,76000,디젤,1998,12.8,전륜 FF,36.7,등록,쌍용,181,0
뉴 코란도 C 2.0,4600000,101,140000,디젤,1998,11.6,4WD,36.7,등록,쌍용,181,0
코란도 C 2.0,3590000,144,159590,디젤,1998,13.1,4WD,36.7,등록,쌍용,181,0
코란도 투리스모,4890000,113,100003,디젤,1998,11.3,4WD,36.7,등록,쌍용,155,0
코란도 C 2.0,2290000,140,145650,디젤,1998,14.6,전륜 FF,36.7,등록,쌍용,181,0
코란도 스포츠,5500000,109,138000,디젤,1998,13.5,후륜 ,36.7,등록,쌍용,155,0
코란도 스포츠,5200000,127,72200,디젤,1998,12.8,4WD,36.7,등록,쌍용,155,0
코란도 스포츠,5600000,127,136000,디젤,1998,12.8,4WD,36.7,등록,쌍용,155,0
뉴 코란도 C 2.2,5990000,82,110000,디젤,2157,13.1,전륜 FF,40.8,등록,쌍용,178,0
코란도 스포츠,6500000,88,142000,디젤,1998,10.3,4WD,36.7,등록,쌍용,155,0
코란도 스포츠,6300000,131,186898,디젤,1998,12.8,4WD,36.7,등록,쌍용,155,0
코란도 스포츠,5200000,128,170797,디젤,1998,12.8,4WD,36.7,등록,쌍용,155,0
더 뉴 코란도 스포츠,10900000,61,120074,디젤,2157,12,4WD,40.8,등록,쌍용,178,0
뉴 코란도 C 2.0,8700000,107,67000,디젤,1998,11.6,4WD,36.7,등록,쌍용,181,0
코란도 스포츠,9500000,109,100000,디젤,1998,12.8,4WD,36.7,등록,쌍용,155,0
코란도 스포츠,6800000,123,135020,디젤,1998,12.8,4WD,36.7,등록,쌍용,155,0
코란도 스포츠,6500000,123,171371,디젤,1998,12.8,4WD,36.7,등록,쌍용,155,0
뷰티풀 코란도,18200000,27,27000,가솔린,1497,11.3,전륜 FF,28.6,등록,쌍용,170,1
코란도 스포츠,6200000,125,156524,디젤,1998,13.5,후륜 ,36.7,등록,쌍용,155,0
코란도 스포츠,4800000,132,223068,디젤,1998,13.5,후륜 ,36.7,등록,쌍용,155,0
코란도 스포츠,5500000,99,178515,디젤,1998,10.3,4WD,36.7,등록,쌍용,155,0
코란도 스포츠,5990000,130,176656,디젤,1998,13.5,후륜 ,36.7,등록,쌍용,155,0
코란도 스포츠,5400000,121,174915,디젤,1998,13.5,후륜 ,36.7,등록,쌍용,155,0
코란도 스포츠,5100000,124,149012,디젤,1998,13.5,후륜 ,36.7,등록,쌍용,155,0
코란도 스포츠,7400000,101,121602,디젤,1998,10.3,후륜 ,36.7,등록,쌍용,155,0
뉴 코란도 C 2.2,7300000,83,130823,디젤,2157,13.1,전륜 FF,40.8,등록,쌍용,178,0
코란도 투리스모,6950000,110,143110,디젤,1998,11.3,4WD,36.7,미등록,쌍용,155,0
코란도 스포츠,8840000,88,181200,디젤,1998,10.3,후륜 ,36.7,미등록,쌍용,155,0
코란도 투리스모,7950000,97,173580,디젤,1998,11.3,4WD,36.7,미등록,쌍용,155,0
코란도 스포츠,8700000,114,100000,디젤,1998,10.3,4WD,36.7,등록,쌍용,155,0
뉴 코란도 C,6700000,87,97759,디젤,1998,12.8,전륜 FF,36.7,등록,쌍용,149,0
코란도 스포츠,6500000,110,167091,디젤,1998,12.8,4WD,36.7,미등록,쌍용,155,0
코란도 스포츠,9800000,119,95300,디젤,1998,10.3,4WD,36.7,등록,쌍용,155,0
뉴코란도 2.9,2700000,214,181000,디젤,2874,12,후륜 ,25.51,등록,쌍용,120,0
코란도 C 2.0,3900000,144,141555,디젤,1998,15,전륜 FF,36.7,등록,쌍용,181,0
뉴 코란도 C 2.0,7500000,99,78030,디젤,1998,11.6,4WD,36.7,등록,쌍용,181,0
뷰티풀 코란도,16000000,39,44000,디젤,1597,13.3,AWD,33,등록,쌍용,136,0
뉴 코란도 C 2.2,9800000,82,95715,디젤,2157,13.1,전륜 FF,40.8,등록,쌍용,178,0
코란도 C 2.0,5690000,135,88840,디젤,1998,13.1,4WD,36.7,등록,쌍용,181,0
코란도 투리스모,10900000,108,80769,디젤,1998,11.3,4WD,36.7,등록,쌍용,155,0
코란도 스포츠,13900000,89,89828,디젤,1998,10.3,4WD,36.7,등록,쌍용,155,0
코란도 투리스모,12000000,65,85000,디젤,2157,10.6,4WD,40.8,등록,쌍용,178,0
뷰티풀 코란도,24000000,24,9000,가솔린,1497,11.5,전륜 FF,28.6,등록,쌍용,170,1
코란도 스포츠,6700000,132,126171,디젤,1998,12.8,4WD,36.7,등록,쌍용,155,0
코란도 C,4990000,135,163724,디젤,1998,13.1,4WD,36.7,미등록,쌍용,181,0
코란도 스포츠,12300000,87,104951,디젤,1998,10.3,4WD,36.7,미등록,쌍용,155,0
코란도 투리스모,7500000,114,150000,디젤,1998,11.3,4WD,36.7,등록,쌍용,155,0
더 뉴 코란도 스포츠,15000000,83,73000,디젤,2157,12,4WD,40.8,등록,쌍용,178,0
뷰티풀 코란도,17500000,39,26000,디젤,1597,14.1,전륜 FF,32.9,미등록,쌍용,136,1
뷰티풀 코란도,24000000,20,1200,가솔린,1497,11.3,전륜 FF,28.6,미등록,쌍용,170,1
코란도 투리스모,12500000,112,100403,디젤,1998,11.3,4WD,36.7,등록,쌍용,155,0
렉스턴 스포츠,26300000,39,48000,디젤,2157,9.7,4WD,42.8,미등록,쌍용,181,0
G4 렉스턴,28500000,29,38295,디젤,2157,10.1,4WD,42.8,미등록,쌍용,187,1
렉스턴 스포츠,21900000,39,47842,디젤,2157,9.7,4WD,42.8,등록,쌍용,181,0
렉스턴 스포츠,16200000,44,98210,디젤,2157,9.8,4WD,40.8,등록,쌍용,181,0
렉스턴W,5800000,113,235080,디젤,1998,12.2,전륜 FF,36.7,등록,쌍용,155,0
렉스턴 스포츠,33990000,17,38421,디젤,2157,10,4WD,42.8,등록,쌍용,187,1
렉스턴 스포츠,18500000,53,90238,디젤,2157,9.8,4WD,40.8,등록,쌍용,181,0
렉스턴W,8900000,130,141035,디젤,1998,11.6,4WD,40.8,등록,쌍용,178,0
G4 렉스턴,19990000,65,64308,디젤,2157,10.1,4WD,42.8,등록,쌍용,187,0
G4 렉스턴,17500000,72,80690,디젤,2157,10.1,AWD,42.8,등록,쌍용,187,1
렉스턴 스포츠,22900000,28,39615,디젤,2157,10,4WD,42.8,등록,쌍용,187,1
렉스턴 스포츠,20700000,52,54695,디젤,2157,9.8,4WD,40.8,등록,쌍용,181,0
렉스턴 스포츠,22200000,37,79651,디젤,2157,9.7,4WD,42.8,등록,쌍용,181,0
렉스턴 스포츠,17000000,59,52726,디젤,2157,9.8,4WD,40.8,등록,쌍용,181,0
G4 렉스턴,15400000,70,182244,디젤,2157,10.1,4WD,42.8,등록,쌍용,187,0
G4 렉스턴,1000000,56,121200,디젤,2157,10.5,후륜 ,42.8,등록,쌍용,187,1
렉스턴 스포츠,19990000,43,33690,디젤,2157,9.7,4WD,42.8,등록,쌍용,181,0
G4 렉스턴,14800000,58,150024,디젤,2157,10.1,4WD,42.8,등록,쌍용,187,0
G4 렉스턴,18990000,66,58918,디젤,2157,10.5,후륜 ,42.8,등록,쌍용,187,0
렉스턴 스포츠,13000000,41,81000,디젤,2157,9.8,4WD,40.8,등록,쌍용,181,0
렉스턴W 2.0,7300000,131,152000,디젤,1998,12,전륜 FF,36,등록,쌍용,203,0
렉스턴 스포츠,19900000,53,71679,디젤,2157,9.8,4WD,40.8,등록,쌍용,181,0
G4 렉스턴,17490000,69,79120,디젤,2157,10.1,4WD,42.8,등록,쌍용,187,0
렉스턴 스포츠,21100000,36,30729,디젤,2157,12,전륜 FF,36,등록,쌍용,203,0
G4 렉스턴,22900000,49,60000,디젤,2157,10.1,AWD,42.8,등록,쌍용,187,1
렉스턴W 2.0,9800000,108,123000,디젤,1998,11.6,4WD,40.8,등록,쌍용,178,0
렉스턴W 2.0,6700000,98,195402,디젤,1998,11.7,4WD,36.7,등록,쌍용,155,0
슈퍼 렉스턴,4400000,180,147149,디젤,2696,10.7,4WD,41,등록,쌍용,186,0
렉스턴W 2.0,5100000,112,157962,디젤,1998,11.7,4WD,36.7,등록,쌍용,155,0
렉스턴 스포츠,14300000,53,110543,디젤,2157,9.8,4WD,40.8,등록,쌍용,181,0
렉스턴 스포츠,25900000,35,32000,디젤,2157,12,전륜 FF,36,등록,쌍용,203,0
G4 렉스턴,19600000,54,97000,디젤,2157,10.5,후륜 ,42.8,등록,쌍용,187,0
올 뉴 렉스턴 2.2,27990000,35,8428,디젤,2157,12,전륜 FF,36,등록,쌍용,203,0
렉스턴 스포츠,18600000,37,35000,디젤,2157,9.8,4WD,40.8,등록,쌍용,181,0
G4 렉스턴,28000000,49,84650,디젤,2157,12,전륜 FF,36,등록,쌍용,203,0
슈퍼 렉스턴,6400000,139,91712,디젤,1998,10.4,4WD,35.7,등록,쌍용,172,0
슈퍼 렉스턴,6500000,167,159200,디젤,2696,10.4,4WD,35.7,미등록,쌍용,172,0
렉스턴 스포츠,14000000,41,180000,디젤,2157,9.8,4WD,40.8,등록,쌍용,181,0
렉스턴 스포츠,22900000,38,26000,디젤,2157,9.7,4WD,42.8,등록,쌍용,181,0
렉스턴 스포츠,25900000,37,64101,디젤,2157,9.7,4WD,42.8,미등록,쌍용,181,0
렉스턴W 2.0,9300000,100,89666,디젤,1998,11.6,4WD,40.8,등록,쌍용,178,0
G4 렉스턴,25000000,43,48292,디젤,2157,12,전륜 FF,36,등록,쌍용,203,0
G4 렉스턴,23990000,49,86000,디젤,2157,10.1,4WD,42.8,등록,쌍용,187,1
렉스턴W 2.0,8900000,111,105320,디젤,1998,11.7,4WD,36.7,등록,쌍용,155,0
렉스턴 스포츠,17000000,52,88900,디젤,2157,9.8,4WD,40.8,등록,쌍용,181,0
렉스턴W 2.0,8000000,112,104000,디젤,1998,11.6,4WD,40.8,등록,쌍용,178,0
G4 렉스턴,28000000,27,19536,디젤,2157,10.1,4WD,42.8,등록,쌍용,187,0
렉스턴 스포츠,29500000,33,16000,디젤,2157,12,전륜 FF,36,등록,쌍용,203,0
렉스턴W,6900000,111,218272,디젤,1998,13.1,4WD,36.7,미등록,쌍용,155,0
렉스턴 스포츠,20000000,55,140000,디젤,2157,9.8,4WD,40.8,등록,쌍용,181,0
렉스턴 스포츠,20900000,37,109000,디젤,2157,9.7,4WD,42.8,미등록,쌍용,181,0
렉스턴 스포츠,29500000,31,33000,디젤,2157,10.1,4WD,40.8,미등록,쌍용,187,1
렉스턴 스포츠,28800000,39,38000,디젤,2157,9.7,4WD,42.8,미등록,쌍용,181,0
더 뉴 렉스턴 스포츠,32000000,24,11000,디젤,2157,10,전륜 FF,42.8,미등록,쌍용,187,1
G4 렉스턴,28000000,42,25000,디젤,2157,10.1,AWD,42.8,미등록,쌍용,187,0
