이름,가격,연식,주행거리,연료,배기량,연비,구동방식,최대토크,보험이력등록,제조사,마력,보증여부
쏘나타 2.0,22990000,43,18690,가솔린,1999,12.9,전륜 FF,20,등록,현대,160,1
쏘나타 뉴 라이즈,16100000,67,70646,가솔린,1999,11.6,전륜 FF,20,등록,현대,163,0
쏘나타 2.0,25000000,41,45378,가솔린,1999,13,전륜 FF,20,등록,현대,160,1
쏘나타 2.0,19490000,43,50787,가솔린,1999,12.9,전륜 FF,20,등록,현대,160,1
LF쏘나타 2.0,10700000,77,67476,가솔린,1999,12.6,전륜 FF,20.5,등록,현대,168,0
쏘나타 2.0,26600000,44,29881,LPG,1999,9.8,전륜 FF,19.5,등록,현대,146,1
YF쏘나타 2.0,3100000,167,127621,LPG,1998,10.5,전륜 FF,20,등록,현대,157,0
LF쏘나타 2.0,7100000,101,75031,가솔린,1999,11.6,전륜 FF,20.5,등록,현대,168,0
YF쏘나타 2.0,2800000,145,143883,LPG,1998,10.5,전륜 FF,20,등록,현대,157,0
YF쏘나타 2.0,2600000,145,101114,가솔린,1998,12.8,전륜 FF,20.2,등록,현대,165,0
쏘나타 더 브릴리언트,4800000,109,118000,가솔린,1999,14.7,전륜 FF,20.5,등록,현대,172,0
쏘나타,20300000,32,12840,가솔린,1999,12.9,전륜 FF,20,등록,현대,160,0
YF쏘나타 2.0,2490000,125,169617,가솔린,1999,14,전륜 FF,20.5,등록,현대,172,0
LF쏘나타 2.0,8500000,101,47000,가솔린,1999,12,전륜 FF,20.5,등록,현대,168,0
쏘나타 뉴 라이즈,12500000,69,52000,가솔린,1591,12.8,전륜 FF,27,등록,현대,180,0
LF쏘나타 2.0,5300000,84,110500,LPG,1999,9.6,전륜 FF,19.8,등록,현대,151,0
쏘나타 하이브리드,4990000,113,129000,기타,1999,16.8,전륜 FF,27,등록,현대,191,0
쏘나타 더 브릴리언트,4200000,97,76000,LPG,1999,9.3,전륜 FF,20,등록,현대,157,0
YF쏘나타 2.0,2500000,148,199000,LPG,1998,10.5,전륜 FF,20,등록,현대,157,0
YF쏘나타 2.0,3200000,141,141300,LPG,1999,10.5,전륜 FF,20,등록,현대,157,0
LF쏘나타,9400000,96,88941,디젤,1685,16.8,전륜 FF,34.7,등록,현대,141,0
쏘나타 더 브릴리언트,7000000,119,148259,LPG,1999,9.3,전륜 FF,20,등록,현대,157,0
